<2024-09-13 12:26:41>|| {REQUEST: uri: /tags/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.43836ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:721, custom-value: 42}
<2024-09-13 12:26:41>|| {REQUEST: uri: /provinsi/used, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.855455ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:180, custom-value: 42}
<2024-09-13 12:26:43>|| {REQUEST: uri: /asset/detail/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.393672ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:605, custom-value: 42}
<2024-09-13 12:26:43>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.968365ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:01>|| {REQUEST: uri: /asset/detail/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.091184ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:605, custom-value: 42}
<2024-09-13 12:27:01>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.360931ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:25>|| {REQUEST: uri: /asset/detail/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.083755ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:605, custom-value: 42}
<2024-09-13 12:27:25>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.242212ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:26>|| {REQUEST: uri: /asset/detail/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.129474ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:605, custom-value: 42}
<2024-09-13 12:27:26>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.312831ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:46>|| {REQUEST: uri: /asset/detail/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.785827ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:605, custom-value: 42}
<2024-09-13 12:27:46>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.227462ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
<2024-09-13 12:27:47>|| {REQUEST: uri: /asset/history/14, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:2.774356ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:60, custom-value: 42}
<2024-09-13 12:27:48>|| {REQUEST: uri: /asset, status: 200, ip:139.228.71.214, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.601778ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9143, custom-value: 42}
