<2024-10-02 09:24:22>|| {REQUEST: uri: /file?path=uploads/asset/foto/1_ree.png, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36, Error:<nil>, Latency:367.765µs, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:8366, custom-value: 42}
<2024-10-02 09:24:25>|| {REQUEST: uri: /survey_req/detail, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.424732ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:1565, custom-value: 42}
<2024-10-02 09:24:27>|| {REQUEST: uri: /surveyor, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.901495ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:4042, custom-value: 42}
<2024-10-02 09:24:27>|| {REQUEST: uri: /surveyor/aktif, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.620939ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:3612, custom-value: 42}
<2024-10-02 09:24:27>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.974514ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:24:27>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.914545ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:24:28>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36, Error:<nil>, Latency:3.874405ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:25:26>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:3.67176ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:25:28>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/129.0.0.0 Safari/537.36, Error:<nil>, Latency:5.24517ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
<2024-10-02 09:25:45>|| {REQUEST: uri: /asset, status: 200, ip:10.145.35.18, Host:leap.crossnet.co.id:1762, ContentLength:, User-Agent:node, Error:<nil>, Latency:4.083415ms, method:GET ,Protocol:HTTP/1.1, RequestId:, ResponseSize:9705, custom-value: 42}
